URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://smart.who.int/ig/smart-immunizations/CodeSystem/IMMZ.C,0.1.0,draft,,IMMZ_C,IMMZ.C CodeSystem for Data Elements,"CodeSystem for IMMZ.C Data Elements",
http://smart.who.int/ig/smart-immunizations/CodeSystem/IMMZ.D,0.1.0,draft,,IMMZ_D,IMMZ.D CodeSystem for Data Elements,"CodeSystem for IMMZ.D Data Elements",
http://smart.who.int/ig/smart-immunizations/CodeSystem/IMMZ.D1,0.1.0,draft,,IMMZ_D1,IMMZ.D1 CodeSystem for Data Elements,"CodeSystem for IMMZ.D1 Data Elements",
