URL,Version,Status,OIDs,Name,Title,Description,Used
http://smart.who.int/immunizations/CodeSystem/IMMZ.C,0.2.0,active,,IMMZ_C,IMMZ.C CodeSystem for Data Elements,"CodeSystem for IMMZ.C Data Elements",
http://smart.who.int/immunizations/CodeSystem/IMMZ.D,0.2.0,active,,IMMZ_D,IMMZ.D CodeSystem for Data Elements,"CodeSystem for IMMZ.D Data Elements",
http://smart.who.int/immunizations/CodeSystem/IMMZ.D2.DT.Inputs,0.2.0,active,,IMMZ_D2_DT_Inputs,IMMZ.D2.DT.Inputs CodeSystem for Decision Table Inputs,"CodeSystem for Decision Table Inputs",
http://smart.who.int/immunizations/CodeSystem/IMMZ.D2.DT.Outputs,0.2.0,active,,IMMZ_D2_DT_Outputs,IMMZ.D2.DT.Outputs CodeSystem for Decision Table Outputs,"CodeSystem for Decision Table Outputs",
http://smart.who.int/immunizations/CodeSystem/IMMZ.D5.DT.Inputs,0.2.0,active,,IMMZ_D5_DT_Inputs,IMMZ.D5.DT.Inputs CodeSystem for Decision Table Inputs,"CodeSystem for Decision Table Inputs",
http://smart.who.int/immunizations/CodeSystem/IMMZ.D5.DT.Outputs,0.2.0,active,,IMMZ_D5_DT_Outputs,IMMZ.D5.DT.Outputs CodeSystem for Decision Table Outputs,"CodeSystem for Decision Table Outputs",
http://smart.who.int/immunizations/CodeSystem/IMMZ.Ex,0.2.0,active,,IMMZ_C,IMMZ.Ex CodeSystem for Example values for required data elements,"CodeSystem for IMMZ.Ex Examples",
http://smart.who.int/immunizations/CodeSystem/IMMZ.I,0.2.0,active,,IMMZ_I,IMMZ.I CodeSystem for Data Elements,"CodeSystem for IMMZ.I Data Elements",
http://smart.who.int/immunizations/CodeSystem/IMMZ.Z,0.2.0,active,,IMMZ_Z,IMMZ.Z CodeSystem for Data Elements,"CodeSystem for IMMZ.Z Data Elements",
